Time,Montreal_Index,Pair_Count
Jul-90,59.13,1654
Aug-90,58.82,1098
Sep-90,58.5,789
Oct-90,57.78,928
Nov-90,57.48,1054
Dec-90,57.5,832
Jan-91,57.52,701
Feb-91,57.41,650
Mar-91,57.67,976
Apr-91,58.23,1167
May-91,58.77,2376
Jun-91,58.6,4002
Jul-91,58.48,1500
Aug-91,57.9,1301
Sep-91,57.72,1138
Oct-91,57.83,1166
Nov-91,58.03,1227
Dec-91,57.79,1917
Jan-92,57.49,534
Feb-92,57.7,755
Mar-92,58.21,1956
Apr-92,58.52,1711
May-92,58.39,2333
Jun-92,58.15,4913
Jul-92,57.55,1192
Aug-92,57.29,1107
Sep-92,57.15,1174
Oct-92,57.13,1164
Nov-92,57.17,1321
Dec-92,56.67,1337
Jan-93,57.01,626
Feb-93,56.93,683
Mar-93,57.47,1127
Apr-93,57.56,1620
May-93,57.9,2272
Jun-93,58.04,4751
Jul-93,57.81,1659
Aug-93,57.26,1210
Sep-93,56.94,1199
Oct-93,56.78,1093
Nov-93,57.04,1206
Dec-93,57.15,1135
Jan-94,57.65,517
Feb-94,57.87,927
Mar-94,58.31,1517
Apr-94,58.45,1778
May-94,58.61,3158
Jun-94,58.24,5609
Jul-94,57.85,1788
Aug-94,57.25,1113
Sep-94,57.08,955
Oct-94,56.62,933
Nov-94,56.56,1039
Dec-94,56.25,1143
Jan-95,56.41,669
Feb-95,56.41,868
Mar-95,56.82,1137
Apr-95,56.99,1176
May-95,57.33,2520
Jun-95,57.2,3929
Jul-95,56.93,1400
Aug-95,56.37,1111
Sep-95,56.02,1074
Oct-95,55.75,1009
Nov-95,55.72,1031
Dec-95,55.62,1020
Jan-96,55.57,771
Feb-96,55.64,856
Mar-96,55.81,1113
Apr-96,56.31,1844
May-96,56.69,4093
Jun-96,56.8,4753
Jul-96,56.46,1611
Aug-96,55.94,1191
Sep-96,55.54,1037
Oct-96,55.47,1176
Nov-96,55.51,1311
Dec-96,55.82,1376
Jan-97,55.95,1089
Feb-97,56.21,1169
Mar-97,56.5,1221
Apr-97,56.87,2387
May-97,57.1,4731
Jun-97,56.9,6350
Jul-97,56.57,2029
Aug-97,56.1,1357
